N,t_C,Preci_mm,Velo_viento_mph
18,12.4,5.1,16
36,14.2,9.7,10
65,14.8,3.6,12
64,18.8,12.7,11
68,18.7,30.5,11
60,18,103.6,9
54,16.7,63,10
40,17.8,10.2,11
36,17.6,23.4,8
37,16.4,22.4,11
33,15.6,3.6,9
34,13,4.1,8
