N,t_C,Preci_mm,Velo_viento_mph
7,11.1,5.1,11
33,16,9.4,11
46,18,9.4,10
70,19.1,9.7,10
0,20.6,11.9,11
64,18.8,128.5,13
52,18.8,2.8,12
46,18.2,14,12
43,17.9,6.6,9
28,17,9.1,9
19,14.1,7.1,8
0,12.8,2.3,10
