N,t_C,Preci_mm,Velo_viento_mph
13,11.7,10.2,9
28,12.6,0,10
50,15.9,14.2,10
70,18.9,15.5,12
64,20.7,36.3,11
53,18.2,57.2,12
50,19.7,43.7,10
35,18.9,89.9,12
33,17.1,103.1,9
25,15.5,7.4,10
20,13.6,21.6,9
17,14.6,0.8,11
